company,vacancy_count,share
Manexperts (Schweiz) GmbH,4,0.0007
Medacta Italia,4,0.0007
NOVO Business Consultants AG,4,0.0007
Nozomi Networks,4,0.0007
PEAX AG,4,0.0007
PMS SCHÖNENBERGER AG,4,0.0007
PRIME INTERNATIONAL GROUP Sàrl,4,0.0007
Pascal Dietrich Consulting AG,4,0.0007
Performance Consultant SA,4,0.0007
PostFinance,4,0.0007
Qim info,4,0.0007
RJC Group,4,0.0007
Relewant,4,0.0007
Ripple,4,0.0007
SFS Group Schweiz AG,4,0.0007
SIGMALIS Sàrl,4,0.0007
SRG,4,0.0007
SSI Schäfer AG,4,0.0007
SWICA Gesundheitsorganisation,4,0.0007
SkyCell AG,4,0.0007
Skysec Defence,4,0.0007
Sonova AG,4,0.0007
Specialized Bicycle Components,4,0.0007
Stadt Zürich – Organisation und Informatik,4,0.0007
Swiss International Air Lines AG,4,0.0007
Swiss National Bank,4,0.0007
Swiss Re,4,0.0007
SwissPeak Partners,4,0.0007
Swissgrid AG,4,0.0007
Switch,4,0.0007
Sword Group,4,0.0007
T&N Telekom & Netzwerk AG,4,0.0007
TCS Touring Club Schweiz,4,0.0007
Taurus SA,4,0.0007
Teleflex,4,0.0007
Transgourmet/Prodega Schweiz,4,0.0007
UBS,4,0.0007
UNITY Schweiz AG,4,0.0007
Universität Bern,4,0.0007
Universitätsspital Basel,4,0.0007
Valjob,4,0.0007
Varian Medical Systems Imaging Laboratory GmbH,4,0.0007
Wingtra AG,4,0.0007
Ziemer Ophthalmic Systems AG,4,0.0007
Zürcher Kantonalbank,4,0.0007
act digital,4,0.0007
adidas sport gmbh,4,0.0007
at rete ag,4,0.0007
dynamic devices AG,4,0.0007
emineo AG,4,0.0007
esolva ag,4,0.0007
green.ch AG,4,0.0007
itesys AG,4,0.0007
swisspro AG,4,0.0007
ti&m,4,0.0007
uniQconsulting ag,4,0.0007
A. Baggenstos & Co AG,3,0.0006
ABB,3,0.0006
AGILITA,3,0.0006
Abraxas Informatik AG,3,0.0006
Academic Work Switzerland,3,0.0006
Adobe,3,0.0006
Albedis AG,3,0.0006
Artificialy,3,0.0006
Ashby,3,0.0006
Assura,3,0.0006
Aventit AG,3,0.0006
BOBST,3,0.0006
Bell Food Group AG,3,0.0006
Berner Fachhochschule,3,0.0006
Bexio,3,0.0006
Blackroll AG,3,0.0006
Blaser Swisslube AG,3,0.0006
BlueCare AG,3,0.0006
Braintrust,3,0.0006
CH Media Holding AG,3,0.0006
CHUV - Centre Hospitalier Universitaire Vaudois Lausanne,3,0.0006
CIC (Switzerland),3,0.0006
CKW,3,0.0006
Carrosserie HESS AG,3,0.0006
Celerion Switzerland AG,3,0.0006
Centre Patronal,3,0.0006
Climeworks AG,3,0.0006
Cognizant,3,0.0006
Computer Futures,3,0.0006
Convotis,3,0.0006
Crypto Finance AG,3,0.0006
Daco-Systems AG,3,0.0006
Datadog,3,0.0006
Datahouse AG,3,0.0006
Delta Labs AG,3,0.0006
Die Securitas Gruppe,3,0.0006
Digital Architects Zurich GmbH,3,0.0006
EPFL,3,0.0006
Eidg. Nuklearsicherheitsinspektorat,3,0.0006
Eidgenössische Finanzmarktaufsicht (FINMA),3,0.0006
Elastic,3,0.0006
Elektrizitätswerke des Kantons Zürich,3,0.0006
Equans Switzerland Facility Management AG,3,0.0006
Eugster/Frismag AG,3,0.0006
Eversys Digitronics AG,3,0.0006
F24 Schweiz AG,3,0.0006
FIFA,3,0.0006
Fit1Job SA,3,0.0006
Flexion Robotics,3,0.0006
Flexsis AG,3,0.0006
Founderful,3,0.0006
GRITEC AG,3,0.0006
Geberit Schweiz,3,0.0006
Generalsekretariat GS-EDI,3,0.0006
Gramian Consulting,3,0.0006
Graubündner Kantonalbank,3,0.0006
HAEUSLER AG Duggingen,3,0.0006
Hamilton Bonaduz AG,3,0.0006
Health Info Net AG,3,0.0006
Hitachi Energy,3,0.0006
Holcim AG,3,0.0006
Humanis AG,3,0.0006
Hyperio AG,3,0.0006
ICM Image & Concepts Management AG,3,0.0006
IESF AG,3,0.0006
IWB Industrielle Werke Basel,3,0.0006
Idea Creation GmbH,3,0.0006
Infometis,3,0.0006
Intersim AG,3,0.0006
JHC Consulting,3,0.0006
Johnson & Johnson,3,0.0006
Jones Lang LaSalle AG,3,0.0006
KIDAN,3,0.0006
KPT Krankenkasse AG,3,0.0006
Kanadevia Inova AG,3,0.0006
Kanton Appenzell Innerrhoden,3,0.0006
Kanton Basel-Stadt Finanzdepartement,3,0.0006
Kanton Luzern,3,0.0006
Kanton Thurgau,3,0.0006
Kessler & Co AG,3,0.0006
Kite AG,3,0.0006
Kommando Cyber,3,0.0006
Lightly,3,0.0006
Lonza,3,0.0006
Lyncée Tec SA,3,0.0006
MF Group AG,3,0.0006
MOTOREX AG,3,0.0006
Mediclinic Group,3,0.0006
Mercuria,3,0.0006
Nestlé,3,0.0006
Nitrochemie Wimmis AG,3,0.0006
OWT - a Swisscom company,3,0.0006
Opacc Software AG,3,0.0006
Optravis LLC,3,0.0006
PROSTAFF,3,0.0006
Permjobs Sadiku,3,0.0006
Philippe Lebert GmbH,3,0.0006
Pilatus Flugzeugwerke AG,3,0.0006
Pragmatica AG,3,0.0006
PwC,3,0.0006
RUAG,3,0.0006
