canton,skill,vacancy_count,rank,share_within_group
SG,c++,4,5,0.0465
SG,spring,4,5,0.0465
SG,gcp,3,6,0.0349
SG,microservices,3,6,0.0349
SG,oracle,3,6,0.0349
SG,react,3,6,0.0349
SG,typescript,3,6,0.0349
SG,ansible,2,7,0.0233
SG,csharp,2,7,0.0233
SG,docker,2,7,0.0233
SG,git,2,7,0.0233
SG,javascript,2,7,0.0233
SG,kotlin,2,7,0.0233
SG,microsoft azure,2,7,0.0233
SG,mssql,2,7,0.0233
SG,rest_api,2,7,0.0233
SG,scrum,2,7,0.0233
SG,abap oo,1,8,0.0116
SG,apidesign,1,8,0.0116
SG,azure ad connect,1,8,0.0116
SG,azure devops,1,8,0.0116
SG,azure openai,1,8,0.0116
SG,azure sql,1,8,0.0116
SG,backlog_management,1,8,0.0116
SG,bcm,1,8,0.0116
SG,ci/cd,1,8,0.0116
SG,clean_code,1,8,0.0116
SG,cloud-architecture,1,8,0.0116
SG,conventional,1,8,0.0116
SG,data-driven,1,8,0.0116
SG,datenschutzmanagement,1,8,0.0116
SG,devsecops,1,8,0.0116
SG,dotnet,1,8,0.0116
SG,exchange online,1,8,0.0116
SG,experimentation,1,8,0.0116
SG,fi/co,1,8,0.0116
SG,fortinet,1,8,0.0116
SG,github actions,1,8,0.0116
SG,go,1,8,0.0116
SG,grc,1,8,0.0116
SG,hugging face,1,8,0.0116
SG,ikt-minimalstandard,1,8,0.0116
SG,intune,1,8,0.0116
SG,iso/iec 27001,1,8,0.0116
SG,kubernetes,1,8,0.0116
SG,labview,1,8,0.0116
SG,langchain,1,8,0.0116
SG,linux,1,8,0.0116
SG,llamaindex,1,8,0.0116
SG,llmops,1,8,0.0116
SG,m365,1,8,0.0116
SG,microsoft 365,1,8,0.0116
SG,microsoft sql,1,8,0.0116
SG,microsoft teams,1,8,0.0116
SG,microsoft windows server,1,8,0.0116
SG,milvus,1,8,0.0116
SG,mlops,1,8,0.0116
SG,mm,1,8,0.0116
SG,nist,1,8,0.0116
SG,o365,1,8,0.0116
SG,openai,1,8,0.0116
SG,openai/azure openai,1,8,0.0116
SG,packers,1,8,0.0116
SG,php,1,8,0.0116
SG,pinecone,1,8,0.0116
SG,pl/sql,1,8,0.0116
SG,plsql,1,8,0.0116
SG,pm,1,8,0.0116
SG,qt,1,8,0.0116
SG,relationalen datenbanken,1,8,0.0116
SG,risk management,1,8,0.0116
SG,s/4hana,1,8,0.0116
SG,safe,1,8,0.0116
SG,sap btp,1,8,0.0116
SG,sapui5,1,8,0.0116
SG,sd,1,8,0.0116
SG,ui5,1,8,0.0116
SG,veeam,1,8,0.0116
SG,vmware,1,8,0.0116
SG,vue,1,8,0.0116
SG,weaviate,1,8,0.0116
SG,windows server,1,8,0.0116
SH,agile,2,1,0.1429
SH,azure,1,2,0.0714
SH,ci_cd,1,2,0.0714
SH,dart,1,2,0.0714
SH,influxdb,1,2,0.0714
SH,java,1,2,0.0714
SH,kafka,1,2,0.0714
SH,kotlin,1,2,0.0714
SH,nosql,1,2,0.0714
SH,php,1,2,0.0714
SH,react,1,2,0.0714
SH,scylla/cassandra,1,2,0.0714
SH,sql,1,2,0.0714
SH,swift,1,2,0.0714
SO,sql,10,1,0.1961
SO,azure,9,2,0.1765
SO,ci_cd,7,3,0.1373
SO,csharp,6,4,0.1176
SO,typescript,6,4,0.1176
SO,angular,5,5,0.098
SO,agile,4,6,0.0784
SO,devops,4,6,0.0784
SO,dotnet,4,6,0.0784
SO,oracle,4,6,0.0784
SO,python,4,6,0.0784
SO,terraform,4,6,0.0784
SO,aws,3,7,0.0588
SO,gcp,3,7,0.0588
SO,kafka,3,7,0.0588
SO,bigquery,2,8,0.0392
SO,databricks,2,8,0.0392
SO,etl,2,8,0.0392
SO,linux,2,8,0.0392
SO,mssql,2,8,0.0392
SO,oci,2,8,0.0392
SO,postgresql,2,8,0.0392
SO,ansible,1,9,0.0196
SO,dataiku,1,9,0.0196
SO,datenintegration,1,9,0.0196
SO,datenplattformen,1,9,0.0196
SO,docker,1,9,0.0196
SO,documentation,1,9,0.0196
SO,inspection,1,9,0.0196
SO,integration platform,1,9,0.0196
SO,java,1,9,0.0196
SO,javascript,1,9,0.0196
SO,kubernetes,1,9,0.0196
SO,mongodb,1,9,0.0196
SO,openshift,1,9,0.0196
SO,oracle cloud,1,9,0.0196
SO,oracle linux,1,9,0.0196
SO,oracle_cloud,1,9,0.0196
SO,pl/sql,1,9,0.0196
SO,pytorch,1,9,0.0196
SO,quality assurance,1,9,0.0196
SO,react,1,9,0.0196
SO,sap,1,9,0.0196
SO,spring,1,9,0.0196
SO,tensorflow,1,9,0.0196
SO,tests,1,9,0.0196
SZ,sql,6,1,0.24
SZ,agile,4,2,0.16
SZ,devops,3,3,0.12
SZ,oracle,3,3,0.12
SZ,test_automation,3,3,0.12
SZ,aws,2,4,0.08
SZ,azure,2,4,0.08
SZ,ci_cd,2,4,0.08
SZ,gcp,2,4,0.08
SZ,python,2,4,0.08
SZ,rust,2,4,0.08
SZ,sqlite,2,4,0.08
SZ,svelte,2,4,0.08
SZ,typescript,2,4,0.08
SZ,vite,2,4,0.08
SZ,axioma risk,1,5,0.04
SZ,business analysis,1,5,0.04
SZ,business intelligence,1,5,0.04
SZ,c,1,5,0.04
SZ,data-warehouse,1,5,0.04
SZ,datawarehouse,1,5,0.04
SZ,dwh,1,5,0.04
SZ,elasticsearch,1,5,0.04
SZ,electron,1,5,0.04
SZ,electronjs,1,5,0.04
SZ,elt,1,5,0.04
SZ,etl,1,5,0.04
SZ,etl/elt,1,5,0.04
SZ,java,1,5,0.04
SZ,kotlin,1,5,0.04
SZ,microservices,1,5,0.04
SZ,microsoft fabric,1,5,0.04
SZ,microsoft sql server,1,5,0.04
SZ,mongodb,1,5,0.04
SZ,ms sql server,1,5,0.04
SZ,mssql,1,5,0.04
SZ,mysql,1,5,0.04
SZ,postgresql,1,5,0.04
SZ,power bi,1,5,0.04
SZ,project management,1,5,0.04
SZ,requirements analysis,1,5,0.04
SZ,scala,1,5,0.04
SZ,simcorp dimension,1,5,0.04
SZ,terraform,1,5,0.04
TG,ci_cd,7,1,0.1628
TG,agile,4,2,0.093
TG,c++,4,2,0.093
TG,sql,4,2,0.093
TG,azure,3,3,0.0698
TG,devops,3,3,0.0698
TG,kafka,3,3,0.0698
TG,csharp,2,4,0.0465
TG,dotnet,2,4,0.0465
TG,nosql,2,4,0.0465
TG,aws,1,5,0.0233
TG,c,1,5,0.0233
TG,gcp,1,5,0.0233
TG,java,1,5,0.0233
TG,javascript,1,5,0.0233
TG,kotlin,1,5,0.0233
TG,kubernetes,1,5,0.0233
TG,microservices,1,5,0.0233
TG,mssql,1,5,0.0233
TG,mysql,1,5,0.0233
TG,nestjs,1,5,0.0233
TG,nodejs,1,5,0.0233
TG,own storage engines,1,5,0.0233
TG,python,1,5,0.0233
TG,qt,1,5,0.0233
TG,rust,1,5,0.0233
TG,scrum,1,5,0.0233
TG,symfony,1,5,0.0233
TG,tdd,1,5,0.0233
TG,terraform,1,5,0.0233
TG,typescript,1,5,0.0233
TI,python,19,1,0.3115
TI,agile,10,2,0.1639
TI,java,9,3,0.1475
TI,ci_cd,8,4,0.1311
TI,sql,8,4,0.1311
TI,aws,7,5,0.1148
TI,gcp,6,6,0.0984
TI,azure,5,7,0.082
TI,oracle,5,7,0.082
TI,test_automation,5,7,0.082
TI,c++,4,8,0.0656
TI,devops,4,8,0.0656
TI,javascript,3,9,0.0492
TI,microservices,3,9,0.0492
TI,openshift,3,9,0.0492
