company,vacancy_count,share
Datadog,3,0.0006
Datahouse AG,3,0.0006
Delta Labs AG,3,0.0006
Die Securitas Gruppe,3,0.0006
Digital Architects Zurich GmbH,3,0.0006
EPFL,3,0.0006
Ecorobotix SA,3,0.0006
Eidg. Nuklearsicherheitsinspektorat,3,0.0006
Elastic,3,0.0006
Emil Frey Gruppe Schweiz,3,0.0006
Eugster/Frismag AG,3,0.0006
FIFA,3,0.0006
FORUM MONDIAL DE L'ECONOMIE,3,0.0006
Flexion Robotics,3,0.0006
Flexsis AG,3,0.0006
Founderful,3,0.0006
GRITEC AG,3,0.0006
Geberit Schweiz,3,0.0006
Generalsekretariat GS-EDI,3,0.0006
Gramian Consulting,3,0.0006
Graubündner Kantonalbank,3,0.0006
HAEUSLER AG Duggingen,3,0.0006
Hamilton Bonaduz AG,3,0.0006
Heizmann AG,3,0.0006
Hitachi Energy,3,0.0006
Holcim AG,3,0.0006
Humanis AG,3,0.0006
Hyperio AG,3,0.0006
ICM Image & Concepts Management AG,3,0.0006
IESF AG,3,0.0006
IT ADVANCED CONSULTING SA,3,0.0006
Idea Creation GmbH,3,0.0006
Infometis,3,0.0006
JHC Consulting,3,0.0006
Johnson & Johnson,3,0.0006
KIDAN,3,0.0006
Kanadevia Inova AG,3,0.0006
Kanton Appenzell Innerrhoden,3,0.0006
Kanton Basel-Stadt Finanzdepartement,3,0.0006
Kanton Luzern,3,0.0006
Kessler & Co AG,3,0.0006
Kite AG,3,0.0006
Knowledge Lab AG,3,0.0006
Kommando Cyber,3,0.0006
LGT Capital Partners AG,3,0.0006
Lambda Health System SA,3,0.0006
Lightly,3,0.0006
Lonza,3,0.0006
Loomis Schweiz AG,3,0.0006
Luzerner Kantonalbank,3,0.0006
Lyncée Tec SA,3,0.0006
MF Group AG,3,0.0006
MGI Consultants SA,3,0.0006
Mediclinic Group,3,0.0006
Mercuria,3,0.0006
Nestlé,3,0.0006
OWT - a Swisscom company,3,0.0006
Optravis LLC,3,0.0006
PROSTAFF,3,0.0006
Performance Consultant SA,3,0.0006
Permjobs Sadiku,3,0.0006
Philippe Lebert GmbH,3,0.0006
Pilatus Flugzeugwerke AG,3,0.0006
Pilatus-Bahnen AG,3,0.0006
Pragmatica AG,3,0.0006
Rheinmetall,3,0.0006
Rivia,3,0.0006
Sabag AG,3,0.0006
Sanitas Krankenversicherung,3,0.0006
Semtech,3,0.0006
Sigma Suisse,3,0.0006
Sika Gesellschaften in der Schweiz,3,0.0006
Smart Energy Link AG,3,0.0006
Sonova AG,3,0.0006
Stadt Zürich – Organisation und Informatik,3,0.0006
Suva,3,0.0006
Swatch AG,3,0.0006
Swatch Group Services,3,0.0006
Swiss Casinos,3,0.0006
Swiss GRC AG,3,0.0006
Swissgrid AG,3,0.0006
Syntegon Packaging Systems AG,3,0.0006
Sécheron SA,3,0.0006
T&N Telekom & Netzwerk AG,3,0.0006
TEAM PARTNERS Suisse SA - Groupe BLUESOFT,3,0.0006
TXT GROUP,3,0.0006
Tanner + Co AG Verpackungstechnik,3,0.0006
Techyon,3,0.0006
Tempobrain AG,3,0.0006
Teoresi Group,3,0.0006
Tocco AG,3,0.0006
Trafag AG,3,0.0006
Trafigura,3,0.0006
UBP - Union Bancaire Privée,3,0.0006
Universität Bern,3,0.0006
Universität St. Gallen,3,0.0006
V-ZUG AG,3,0.0006
VP Bank AG,3,0.0006
Valjob,3,0.0006
Valora Group,3,0.0006
Vebego AG,3,0.0006
Viollier AG,3,0.0006
Vontobel,3,0.0006
Walo Bertschinger AG,3,0.0006
Wingtra AG,3,0.0006
World Intellectual Property Organization – WIPO,3,0.0006
Wüest Partner AG,3,0.0006
Xebia,3,0.0006
Zürcher Hochschule der Künste,3,0.0006
achermann ict-services ag,3,0.0006
adidas sport gmbh,3,0.0006
bbv Software Services AG,3,0.0006
bossinfo.ch AG,3,0.0006
cross-ING AG,3,0.0006
devs group,3,0.0006
dormakaba Schweiz AG,3,0.0006
esolva ag,3,0.0006
ipt Innovation Process Technology,3,0.0006
p4b ag,3,0.0006
ridgeline ag,3,0.0006
u-blox AG,3,0.0006
valantic,3,0.0006
ADE photonExa GmbH,2,0.0004
AFRY,2,0.0004
ALSO Schweiz AG,2,0.0004
ALTIS Groupe SA,2,0.0004
AMAC Aerospace Switzerland AG,2,0.0004
API S.A.,2,0.0004
ASSA ABLOY (Schweiz) AG,2,0.0004
ASTRELYA,2,0.0004
AVM Engineering AG,2,0.0004
Aargauische Gebäudeversicherung,2,0.0004
Abrantix AG,2,0.0004
Academic Work Switzerland,2,0.0004
Actemium Schweiz AG,2,0.0004
AdVision Swiss AG,2,0.0004
Adfinis,2,0.0004
Akkodis,2,0.0004
Ambit Group AG,2,0.0004
Ammann Group,2,0.0004
Ammann Schweiz AG,2,0.0004
Ampstek,2,0.0004
Andermatt Swiss Alps AG,2,0.0004
Anevo,2,0.0004
Antaes Consulting,2,0.0004
Aquantic AG,2,0.0004
Arcade Solutions AG,2,0.0004
Arcomed AG,2,0.0004
Auriga Informatik GmbH,2,0.0004
AurigaVision AG,2,0.0004
AutoForm Development GmbH,2,0.0004
Axia AG,2,0.0004
Axians Somnitec AG,2,0.0004
Axians in Switzerland,2,0.0004
Axpo Gruppe,2,0.0004
BCIC Swiss GmBH | Best Connect International Company,2,0.0004
BOLL Engineering AG,2,0.0004
BSW SECURITY AG,2,0.0004
BVK Personalvorsorge des Kantons Zürich,2,0.0004
Bank-now,2,0.0004
Batterman Consulting Basel AG,2,0.0004
Bavarian Nordic Berna GmbH,2,0.0004
